country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","13-12-2025 20:00:00",10.532400,76.215900,PM10,50,59,55
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","13-12-2025 20:00:00",20.939198,77.765701,CO,44,118,66
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","13-12-2025 20:00:00",20.939198,77.765701,OZONE,1,107,66
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","13-12-2025 20:00:00",19.875620,75.387310,NO2,NA,NA,NA
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","13-12-2025 20:00:00",19.875620,75.387310,SO2,1,2,1
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","13-12-2025 20:00:00",19.8389439,75.244448,PM2.5,34,500,157
India,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","13-12-2025 20:00:00",19.8389439,75.244448,NH3,10,11,11
India,"Madhya Pradesh",Satna,"Bandhavgar Colony, Satna - Birla Cement","13-12-2025 20:00:00",24.58434363,80.8549414,OZONE,4,58,44
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","13-12-2025 20:00:00",24.108970,82.645580,PM10,133,443,211
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","13-12-2025 20:00:00",19.10122,74.73339,CO,24,113,41
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB","13-12-2025 20:00:00",20.9402359,77.7895248,PM2.5,49,94,63
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","13-12-2025 20:00:00",19.9775302,79.2337086,PM10,45,226,118
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","13-12-2025 20:00:00",19.9775302,79.2337086,OZONE,17,19,18
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","13-12-2025 20:00:00",20.918946,74.776388,PM2.5,48,248,108
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","13-12-2025 20:00:00",20.918946,74.776388,PM10,55,160,95
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","13-12-2025 20:00:00",20.918946,74.776388,NO2,6,83,22
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","13-12-2025 20:00:00",20.918946,74.776388,CO,22,61,30
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","13-12-2025 20:00:00",20.918946,74.776388,OZONE,12,73,52
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","13-12-2025 20:00:00",21.001264,75.565602,NH3,2,3,2
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","13-12-2025 20:00:00",19.854616,75.905894,PM2.5,30,285,82
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","13-12-2025 20:00:00",19.854616,75.905894,NO2,10,27,18
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","13-12-2025 20:00:00",19.854616,75.905894,SO2,6,16,9
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","13-12-2025 20:00:00",19.25292,73.142019,NO2,NA,NA,NA
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB","13-12-2025 20:00:00",18.1023399,73.4783687,PM10,52,189,118
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB","13-12-2025 20:00:00",20.555712,74.529236,PM2.5,31,219,115
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB","13-12-2025 20:00:00",20.555712,74.529236,SO2,17,42,25
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","13-12-2025 20:00:00",19.296481,72.840923,NH3,2,8,5
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB","13-12-2025 20:00:00",19.192056,72.9585188,NH3,2,9,5
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB","13-12-2025 20:00:00",19.192056,72.9585188,OZONE,3,133,65
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB","13-12-2025 20:00:00",16.6870449,74.2505872,NO2,8,81,35
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB","13-12-2025 20:00:00",16.6870449,74.2505872,NH3,2,7,4
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","13-12-2025 20:00:00",19.863756,75.321188,SO2,7,40,18
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","13-12-2025 20:00:00",19.0243902,73.0406721,NH3,1,2,1
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","13-12-2025 20:00:00",19.962900,79.298714,SO2,37,37,37
